Year, Country, Accident_ID, Accident_Severity, Helmet_Use, Injury_Severity_Score, Road_Type, Weather_Condition, Time_of_Day, Age_of_Driver, Helmet_Law_Enforced, Traffic_Density, Alcohol_Involved, Speed_Limit
2019, Nigeria, ACC198     , Moderate         , No        ,                     4, Rural    , Rainy            , Night      ,            31, No                 , High           , No              , 41-60 km/h
2020, Nigeria, ACC199     , Minor            , No        ,                    13, Urban    , Rainy            , Evening    ,            55, Yes                , Low            , Yes             , <=40 km/h
2018, Liberia, ACC200     , Moderate         , Yes       ,                     1, Urban    , Rainy            , Night      ,            18, No                 , High           , No              , 61-80 km/h
2022, Nigeria, ACC201     , Moderate         , No        ,                    12, Urban    , Clear            , Evening    ,            55, No                 , Medium         , No              , 80+ km/h
2023, Nigeria, ACC202     , Minor            , Yes       ,                     2, Urban    , Clear            , Morning    ,            55, Yes                , Medium         , No              , 80+ km/h
2022, Liberia, ACC203     , Minor            , Yes       ,                    12, Urban    , Clear            , Evening    ,            38, Yes                , Medium         , Yes             , 61-80 km/h
2016, Nigeria, ACC204     , Minor            , Yes       ,                     5, Urban    , Clear            , Night      ,            46, Yes                , Low            , No              , 61-80 km/h
2019, Liberia, ACC205     , Minor            , Yes       ,                    12, Urban    , Rainy            , Afternoon  ,            22, No                 , Low            , Yes             , 61-80 km/h
2020, Liberia, ACC206     , Fatal            , No        ,                    11, Urban    , Clear            , Evening    ,            27, Yes                , Medium         , No              , 41-60 km/h
2023, Nigeria, ACC207     , Minor            , No        ,                     5, Rural    , Cloudy           , Evening    ,            45, Yes                , Medium         , No              , 61-80 km/h
2019, Nigeria, ACC208     , Severe           , Yes       ,                     8, Urban    , Cloudy           , Morning    ,            38, Yes                , High           , No              , 41-60 km/h
2021, Nigeria, ACC209     , Minor            , Yes       ,                     6, Urban    , Rainy            , Night      ,            24, No                 , Medium         , No              , 41-60 km/h
2020, Nigeria, ACC210     , Moderate         , No        ,                     8, Urban    , Rainy            , Evening    ,            20, No                 , Low            , No              , 61-80 km/h
2022, Liberia, ACC211     , Severe           , Yes       ,                     2, Rural    , Foggy            , Evening    ,            37, Yes                , Medium         , No              , 41-60 km/h
2022, Nigeria, ACC212     , Moderate         , Yes       ,                     3, Urban    , Clear            , Evening    ,            36, Yes                , Low            , No              , 41-60 km/h
2020, Liberia, ACC213     , Moderate         , Yes       ,                     6, Urban    , Rainy            , Evening    ,            52, Yes                , Medium         , No              , 80+ km/h
2022, Nigeria, ACC214     , Moderate         , No        ,                    12, Rural    , Clear            , Afternoon  ,            21, Yes                , Medium         , Yes             , <=40 km/h
2018, Nigeria, ACC215     , Minor            , No        ,                    13, Rural    , Rainy            , Night      ,            22, No                 , High           , No              , 41-60 km/h
2020, Nigeria, ACC216     , Fatal            , Yes       ,                    10, Urban    , Clear            , Morning    ,            18, Yes                , Medium         , No              , 80+ km/h
2019, Liberia, ACC217     , Severe           , Yes       ,                     3, Rural    , Foggy            , Morning    ,            21, Yes                , Medium         , No              , 61-80 km/h
2020, Nigeria, ACC218     , Fatal            , No        ,                     6, Urban    , Cloudy           , Afternoon  ,            29, Yes                , Medium         , No              , 41-60 km/h
2023, Nigeria, ACC219     , Minor            , No        ,                     6, Urban    , Clear            , Night      ,            44, No                 , High           , No              , 41-60 km/h
2022, Nigeria, ACC220     , Severe           , Yes       ,                     2, Urban    , Clear            , Evening    ,            59, No                 , Low            , No              , 41-60 km/h
2018, Nigeria, ACC221     , Fatal            , No        ,                     7, Urban    , Cloudy           , Afternoon  ,            40, Yes                , Low            , No              , 61-80 km/h
2018, Liberia, ACC222     , Minor            , Yes       ,                    12, Rural    , Clear            , Night      ,            42, No                 , Low            , Yes             , 41-60 km/h
2021, Nigeria, ACC223     , Minor            , Yes       ,                     2, Urban    , Foggy            , Evening    ,            38, Yes                , Low            , No              , 41-60 km/h
2019, Liberia, ACC224     , Severe           , No        ,                     6, Urban    , Rainy            , Afternoon  ,            41, Yes                , Medium         , No              , <=40 km/h
2017, Liberia, ACC225     , Moderate         , Yes       ,                     1, Rural    , Clear            , Night      ,            42, Yes                , Medium         , No              , <=40 km/h
2017, Liberia, ACC226     , Severe           , No        ,                     3, Rural    , Clear            , Morning    ,            49, Yes                , Medium         , Yes             , 80+ km/h
2020, Liberia, ACC227     , Minor            , Yes       ,                     2, Urban    , Clear            , Morning    ,            49, Yes                , Low            , No              , 41-60 km/h
2021, Liberia, ACC228     , Severe           , Yes       ,                     7, Urban    , Rainy            , Night      ,            22, No                 , Medium         , No              , 61-80 km/h
2016, Liberia, ACC229     , Minor            , No        ,                    14, Urban    , Clear            , Morning    ,            53, Yes                , Medium         , No              , <=40 km/h
2020, Nigeria, ACC230     , Minor            , Yes       ,                     4, Rural    , Rainy            , Night      ,            59, Yes                , Medium         , No              , 61-80 km/h
2021, Liberia, ACC231     , Minor            , No        ,                     8, Urban    , Clear            , Evening    ,            59, Yes                , Medium         , No              , 80+ km/h
2019, Liberia, ACC232     , Severe           , Yes       ,                     6, Rural    , Rainy            , Night      ,            56, Yes                , Medium         , No              , 41-60 km/h
2019, Liberia, ACC233     , Moderate         , Yes       ,                    12, Urban    , Foggy            , Evening    ,            33, No                 , Low            , No              , <=40 km/h
2019, Nigeria, ACC234     , Moderate         , Yes       ,                    10, Urban    , Cloudy           , Afternoon  ,            50, Yes                , Low            , No              , 41-60 km/h
2019, Nigeria, ACC235     , Minor            , No        ,                     4, Urban    , Clear            , Night      ,            38, Yes                , High           , Yes             , 61-80 km/h
2019, Liberia, ACC236     , Severe           , Yes       ,                     5, Urban    , Foggy            , Afternoon  ,            26, No                 , High           , No              , 41-60 km/h
2021, Nigeria, ACC237     , Minor            , No        ,                    13, Urban    , Rainy            , Morning    ,            23, Yes                , Medium         , No              , 61-80 km/h
2021, Liberia, ACC238     , Severe           , Yes       ,                    13, Rural    , Rainy            , Evening    ,            52, Yes                , Low            , No              , 61-80 km/h
2018, Liberia, ACC239     , Moderate         , No        ,                    15, Urban    , Cloudy           , Night      ,            56, Yes                , Medium         , No              , 61-80 km/h
2023, Nigeria, ACC240     , Minor            , Yes       ,                    15, Urban    , Clear            , Afternoon  ,            39, Yes                , Medium         , No              , 61-80 km/h
2017, Liberia, ACC241     , Moderate         , No        ,                     9, Rural    , Clear            , Evening    ,            58, No                 , Medium         , Yes             , <=40 km/h
2022, Nigeria, ACC242     , Minor            , No        ,                     7, Urban    , Foggy            , Evening    ,            22, No                 , Low            , Yes             , 41-60 km/h
2019, Nigeria, ACC243     , Severe           , No        ,                    10, Rural    , Clear            , Morning    ,            59, Yes                , Low            , No              , 41-60 km/h
2016, Liberia, ACC244     , Moderate         , No        ,                    14, Urban    , Foggy            , Morning    ,            40, No                 , Medium         , No              , 80+ km/h
2022, Liberia, ACC245     , Minor            , No        ,                    14, Urban    , Foggy            , Evening    ,            34, Yes                , Medium         , No              , 61-80 km/h
2021, Nigeria, ACC246     , Severe           , No        ,                     9, Urban    , Clear            , Evening    ,            29, Yes                , Low            , No              , 61-80 km/h
2016, Liberia, ACC247     , Minor            , Yes       ,                     7, Urban    , Foggy            , Night      ,            40, Yes                , Low            , Yes             , 41-60 km/h
2016, Liberia, ACC248     , Moderate         , Yes       ,                    12, Rural    , Clear            , Evening    ,            33, Yes                , Medium         , No              , <=40 km/h
2016, Liberia, ACC249     , Fatal            , No        ,                     1, Urban    , Rainy            , Night      ,            20, Yes                , High           , No              , 61-80 km/h
2018, Nigeria, ACC250     , Moderate         , No        ,                    12, Urban    , Rainy            , Evening    ,            47, Yes                , High           , Yes             , 41-60 km/h
2021, Nigeria, ACC251     , Minor            , No        ,                     8, Urban    , Cloudy           , Morning    ,            39, No                 , Medium         , No              , 41-60 km/h
2016, Liberia, ACC252     , Fatal            , Yes       ,                     4, Urban    , Clear            , Night      ,            26, Yes                , Medium         , No              , 61-80 km/h
2019, Nigeria, ACC253     , Moderate         , Yes       ,                     3, Rural    , Clear            , Afternoon  ,            46, Yes                , Low            , No              , <=40 km/h
2020, Nigeria, ACC254     , Minor            , Yes       ,                    14, Urban    , Rainy            , Morning    ,            54, Yes                , Medium         , No              , 41-60 km/h
2016, Nigeria, ACC255     , Minor            , No        ,                    13, Urban    , Rainy            , Night      ,            40, Yes                , Medium         , No              , 41-60 km/h
2018, Nigeria, ACC256     , Severe           , Yes       ,                     7, Rural    , Rainy            , Night      ,            30, Yes                , Medium         , No              , <=40 km/h
2022, Nigeria, ACC257     , Moderate         , Yes       ,                    12, Urban    , Clear            , Afternoon  ,            49, Yes                , Medium         , No              , 80+ km/h
2021, Liberia, ACC258     , Moderate         , Yes       ,                     3, Rural    , Clear            , Night      ,            40, No                 , Low            , Yes             , 41-60 km/h
2023, Liberia, ACC259     , Severe           , Yes       ,                     8, Urban    , Clear            , Evening    ,            34, Yes                , Low            , No              , <=40 km/h
2018, Liberia, ACC260     , Severe           , Yes       ,                     6, Urban    , Foggy            , Afternoon  ,            57, Yes                , Medium         , No              , 41-60 km/h
2016, Nigeria, ACC261     , Minor            , Yes       ,                     5, Urban    , Clear            , Morning    ,            38, Yes                , Low            , No              , 61-80 km/h
2021, Nigeria, ACC262     , Minor            , No        ,                     4, Rural    , Clear            , Morning    ,            19, Yes                , Low            , No              , 41-60 km/h
2020, Liberia, ACC263     , Minor            , Yes       ,                     8, Rural    , Cloudy           , Evening    ,            54, Yes                , High           , No              , 41-60 km/h
2016, Nigeria, ACC264     , Severe           , Yes       ,                     8, Urban    , Clear            , Morning    ,            23, No                 , Medium         , No              , <=40 km/h
2018, Liberia, ACC265     , Minor            , Yes       ,                    12, Urban    , Cloudy           , Night      ,            35, Yes                , Medium         , Yes             , <=40 km/h
2017, Liberia, ACC266     , Moderate         , Yes       ,                     1, Urban    , Rainy            , Night      ,            47, Yes                , High           , No              , 41-60 km/h
2019, Liberia, ACC267     , Severe           , Yes       ,                     9, Urban    , Foggy            , Evening    ,            39, Yes                , High           , No              , 61-80 km/h
2023, Nigeria, ACC268     , Severe           , Yes       ,                    14, Urban    , Clear            , Morning    ,            50, Yes                , Medium         , Yes             , 61-80 km/h
2022, Nigeria, ACC269     , Minor            , No        ,                     5, Rural    , Clear            , Morning    ,            47, Yes                , High           , No              , <=40 km/h
2018, Liberia, ACC270     , Severe           , Yes       ,                     4, Urban    , Rainy            , Evening    ,            34, No                 , Medium         , No              , 41-60 km/h
2021, Liberia, ACC271     , Minor            , No        ,                     6, Urban    , Foggy            , Afternoon  ,            49, Yes                , Medium         , No              , 80+ km/h
2023, Liberia, ACC272     , Severe           , No        ,                     6, Urban    , Rainy            , Morning    ,            59, No                 , Medium         , No              , 41-60 km/h
2023, Liberia, ACC273     , Minor            , No        ,                     2, Urban    , Clear            , Afternoon  ,            31, Yes                , Medium         , No              , 61-80 km/h
2023, Nigeria, ACC274     , Minor            , Yes       ,                     8, Urban    , Rainy            , Morning    ,            27, No                 , Medium         , No              , <=40 km/h
2016, Nigeria, ACC275     , Severe           , Yes       ,                     7, Urban    , Rainy            , Morning    ,            53, Yes                , Medium         , No              , 80+ km/h
2019, Liberia, ACC276     , Minor            , Yes       ,                     1, Rural    , Rainy            , Morning    ,            51, Yes                , Low            , No              , 61-80 km/h
2016, Liberia, ACC277     , Minor            , Yes       ,                     5, Urban    , Rainy            , Morning    ,            26, Yes                , Medium         , No              , 80+ km/h
2021, Nigeria, ACC278     , Severe           , No        ,                    12, Urban    , Foggy            , Night      ,            59, No                 , Low            , Yes             , 61-80 km/h
2016, Nigeria, ACC279     , Severe           , Yes       ,                     6, Urban    , Rainy            , Afternoon  ,            45, Yes                , Medium         , Yes             , 41-60 km/h
2017, Liberia, ACC280     , Moderate         , Yes       ,                     4, Rural    , Clear            , Afternoon  ,            28, Yes                , Medium         , No              , 80+ km/h
2019, Liberia, ACC281     , Moderate         , No        ,                     2, Rural    , Clear            , Morning    ,            31, Yes                , Medium         , No              , 41-60 km/h
2019, Liberia, ACC282     , Moderate         , No        ,                    13, Urban    , Clear            , Morning    ,            56, No                 , Medium         , No              , 41-60 km/h
2021, Nigeria, ACC283     , Minor            , Yes       ,                    14, Rural    , Clear            , Afternoon  ,            36, Yes                , High           , No              , 61-80 km/h
2022, Nigeria, ACC284     , Minor            , Yes       ,                     4, Urban    , Clear            , Night      ,            32, No                 , Medium         , No              , 61-80 km/h
2017, Nigeria, ACC285     , Minor            , Yes       ,                     1, Urban    , Clear            , Evening    ,            45, Yes                , Medium         , No              , 80+ km/h
2018, Liberia, ACC286     , Fatal            , Yes       ,                     7, Urban    , Clear            , Evening    ,            41, Yes                , Medium         , No              , 41-60 km/h
2016, Liberia, ACC287     , Moderate         , Yes       ,                     2, Urban    , Clear            , Afternoon  ,            25, Yes                , Low            , No              , 61-80 km/h
2020, Nigeria, ACC288     , Moderate         , Yes       ,                    13, Urban    , Foggy            , Morning    ,            26, No                 , Low            , No              , 61-80 km/h
2016, Nigeria, ACC289     , Moderate         , Yes       ,                     2, Rural    , Cloudy           , Morning    ,            50, Yes                , Low            , No              , <=40 km/h
2023, Liberia, ACC290     , Fatal            , Yes       ,                     9, Rural    , Clear            , Night      ,            50, No                 , Medium         , Yes             , 41-60 km/h
2016, Nigeria, ACC291     , Minor            , Yes       ,                     5, Urban    , Cloudy           , Evening    ,            36, Yes                , Medium         , No              , 41-60 km/h
2018, Nigeria, ACC292     , Moderate         , Yes       ,                     2, Urban    , Rainy            , Night      ,            20, Yes                , High           , No              , 41-60 km/h
2016, Liberia, ACC293     , Moderate         , Yes       ,                    11, Urban    , Clear            , Evening    ,            27, Yes                , Low            , Yes             , 80+ km/h
2017, Nigeria, ACC294     , Moderate         , No        ,                     9, Urban    , Clear            , Afternoon  ,            57, Yes                , Low            , No              , 61-80 km/h
2017, Liberia, ACC295     , Minor            , No        ,                     9, Urban    , Rainy            , Evening    ,            59, No                 , High           , No              , 61-80 km/h
2019, Liberia, ACC296     , Severe           , Yes       ,                     1, Urban    , Rainy            , Night      ,            18, No                 , Low            , No              , 80+ km/h
2021, Liberia, ACC297     , Fatal            , Yes       ,                    11, Urban    , Rainy            , Night      ,            46, No                 , Medium         , No              , 41-60 km/h
2022, Liberia, ACC298     , Moderate         , Yes       ,                     3, Rural    , Clear            , Night      ,            51, No                 , Medium         , No              , 61-80 km/h
2020, Liberia, ACC299     , Moderate         , No        ,                     4, Urban    , Clear            , Afternoon  ,            30, Yes                , Medium         , Yes             , 41-60 km/h
2023, Liberia, ACC300     , Fatal            , No        ,                    14, Urban    , Clear            , Evening    ,            18, Yes                , Low            , No              , 61-80 km/h
2016, Liberia, ACC301     , Severe           , Yes       ,                     7, Rural    , Clear            , Evening    ,            51, No                 , Low            , No              , <=40 km/h
2016, Nigeria, ACC302     , Minor            , No        ,                    10, Urban    , Clear            , Night      ,            46, Yes                , Low            , No              , 80+ km/h
2018, Liberia, ACC303     , Moderate         , Yes       ,                     4, Urban    , Clear            , Evening    ,            30, No                 , Medium         , No              , 41-60 km/h
2021, Liberia, ACC304     , Moderate         , Yes       ,                     2, Urban    , Foggy            , Morning    ,            46, No                 , Medium         , No              , 41-60 km/h
2017, Nigeria, ACC305     , Moderate         , No        ,                     7, Urban    , Cloudy           , Morning    ,            56, Yes                , Low            , No              , 61-80 km/h
2020, Nigeria, ACC306     , Severe           , No        ,                     6, Rural    , Clear            , Morning    ,            41, No                 , Medium         , No              , 41-60 km/h
2019, Nigeria, ACC307     , Fatal            , No        ,                     3, Urban    , Cloudy           , Evening    ,            43, Yes                , High           , No              , 61-80 km/h
2017, Liberia, ACC308     , Fatal            , No        ,                     6, Urban    , Clear            , Afternoon  ,            34, Yes                , Low            , No              , 41-60 km/h
2023, Nigeria, ACC309     , Moderate         , Yes       ,                    11, Rural    , Clear            , Afternoon  ,            24, Yes                , Medium         , No              , 61-80 km/h
2021, Liberia, ACC310     , Minor            , No        ,                    15, Rural    , Clear            , Afternoon  ,            30, Yes                , Medium         , No              , 41-60 km/h
2023, Liberia, ACC311     , Fatal            , Yes       ,                     6, Rural    , Rainy            , Afternoon  ,            22, Yes                , Low            , No              , <=40 km/h
2022, Liberia, ACC312     , Severe           , No        ,                    12, Urban    , Cloudy           , Morning    ,            43, Yes                , Medium         , No              , 41-60 km/h
2019, Liberia, ACC313     , Minor            , Yes       ,                     5, Urban    , Rainy            , Morning    ,            20, No                 , Medium         , Yes             , 41-60 km/h
2022, Nigeria, ACC314     , Fatal            , No        ,                     4, Rural    , Clear            , Night      ,            24, No                 , High           , No              , <=40 km/h
2018, Nigeria, ACC315     , Severe           , Yes       ,                    10, Rural    , Rainy            , Evening    ,            56, Yes                , High           , No              , 41-60 km/h
2023, Liberia, ACC316     , Moderate         , No        ,                    12, Urban    , Clear            , Evening    ,            18, Yes                , Medium         , No              , 41-60 km/h
2018, Liberia, ACC317     , Moderate         , Yes       ,                    15, Urban    , Foggy            , Afternoon  ,            34, No                 , Medium         , Yes             , <=40 km/h
2016, Liberia, ACC318     , Minor            , No        ,                     1, Urban    , Rainy            , Morning    ,            42, Yes                , Medium         , No              , 41-60 km/h
2022, Nigeria, ACC319     , Minor            , Yes       ,                    10, Rural    , Clear            , Afternoon  ,            20, Yes                , Medium         , No              , 61-80 km/h
2021, Liberia, ACC320     , Minor            , Yes       ,                     6, Urban    , Rainy            , Night      ,            32, Yes                , Medium         , No              , <=40 km/h
2023, Liberia, ACC321     , Severe           , Yes       ,                     2, Urban    , Rainy            , Evening    ,            46, Yes                , Low            , Yes             , 41-60 km/h
2020, Nigeria, ACC322     , Minor            , Yes       ,                    13, Urban    , Clear            , Evening    ,            49, Yes                , Medium         , Yes             , 61-80 km/h
2019, Nigeria, ACC323     , Minor            , No        ,                     3, Urban    , Rainy            , Afternoon  ,            43, No                 , Medium         , Yes             , 41-60 km/h
2017, Liberia, ACC324     , Minor            , Yes       ,                    14, Rural    , Clear            , Night      ,            33, Yes                , Medium         , No              , 61-80 km/h
2021, Nigeria, ACC325     , Moderate         , No        ,                     8, Urban    , Rainy            , Evening    ,            42, Yes                , High           , No              , 41-60 km/h
2021, Nigeria, ACC326     , Fatal            , Yes       ,                    10, Rural    , Foggy            , Night      ,            45, Yes                , Low            , No              , 41-60 km/h
2018, Liberia, ACC327     , Minor            , Yes       ,                    14, Rural    , Foggy            , Night      ,            26, Yes                , Medium         , Yes             , <=40 km/h
2022, Nigeria, ACC328     , Minor            , No        ,                    14, Urban    , Rainy            , Afternoon  ,            18, Yes                , Low            , No              , 61-80 km/h
2023, Liberia, ACC329     , Severe           , No        ,                     6, Urban    , Rainy            , Morning    ,            46, No                 , Medium         , No              , 61-80 km/h
2023, Nigeria, ACC330     , Moderate         , Yes       ,                     3, Urban    , Clear            , Afternoon  ,            39, No                 , Medium         , No              , <=40 km/h
2016, Liberia, ACC331     , Minor            , Yes       ,                     7, Rural    , Rainy            , Morning    ,            33, Yes                , Medium         , No              , 41-60 km/h
2016, Liberia, ACC332     , Moderate         , No        ,                     4, Urban    , Clear            , Night      ,            58, No                 , Medium         , No              , 80+ km/h
2019, Liberia, ACC333     , Minor            , Yes       ,                    14, Urban    , Clear            , Morning    ,            58, No                 , Medium         , Yes             , 41-60 km/h
2018, Nigeria, ACC334     , Minor            , No        ,                     9, Rural    , Clear            , Night      ,            24, No                 , Medium         , Yes             , 41-60 km/h
2021, Liberia, ACC335     , Moderate         , No        ,                    15, Urban    , Clear            , Evening    ,            31, Yes                , Medium         , No              , 80+ km/h
2023, Nigeria, ACC336     , Moderate         , No        ,                     5, Rural    , Rainy            , Evening    ,            46, Yes                , Medium         , No              , 61-80 km/h
2020, Liberia, ACC337     , Fatal            , Yes       ,                     3, Urban    , Clear            , Evening    ,            36, Yes                , High           , Yes             , 41-60 km/h
2018, Liberia, ACC338     , Minor            , No        ,                     2, Urban    , Rainy            , Afternoon  ,            36, Yes                , Low            , Yes             , 61-80 km/h
2019, Nigeria, ACC339     , Moderate         , Yes       ,                    11, Urban    , Clear            , Afternoon  ,            19, Yes                , Low            , Yes             , 61-80 km/h
2019, Liberia, ACC340     , Moderate         , Yes       ,                     2, Rural    , Clear            , Night      ,            58, Yes                , Medium         , No              , 41-60 km/h
2018, Liberia, ACC341     , Minor            , Yes       ,                     3, Urban    , Rainy            , Evening    ,            32, No                 , High           , No              , 41-60 km/h
2019, Nigeria, ACC342     , Moderate         , Yes       ,                     2, Rural    , Clear            , Afternoon  ,            20, No                 , Medium         , No              , 41-60 km/h
2018, Liberia, ACC343     , Minor            , No        ,                    14, Rural    , Clear            , Evening    ,            28, No                 , Low            , No              , 80+ km/h
2017, Liberia, ACC344     , Fatal            , No        ,                     4, Urban    , Rainy            , Afternoon  ,            47, Yes                , Medium         , No              , 61-80 km/h
2018, Liberia, ACC345     , Minor            , No        ,                     2, Rural    , Clear            , Morning    ,            57, Yes                , Medium         , No              , <=40 km/h
2022, Liberia, ACC346     , Moderate         , Yes       ,                    10, Urban    , Foggy            , Morning    ,            35, Yes                , Low            , No              , 61-80 km/h
2018, Nigeria, ACC347     , Minor            , Yes       ,                     9, Urban    , Clear            , Evening    ,            19, Yes                , Medium         , No              , 41-60 km/h
2019, Nigeria, ACC348     , Fatal            , Yes       ,                     2, Urban    , Clear            , Night      ,            49, Yes                , High           , Yes             , <=40 km/h
2023, Liberia, ACC349     , Moderate         , No        ,                     9, Rural    , Rainy            , Afternoon  ,            25, Yes                , Medium         , No              , 41-60 km/h
2022, Nigeria, ACC350     , Moderate         , Yes       ,                    13, Urban    , Clear            , Afternoon  ,            39, Yes                , Medium         , No              , 41-60 km/h
2019, Liberia, ACC351     , Minor            , No        ,                     6, Urban    , Clear            , Morning    ,            23, No                 , Medium         , No              , 61-80 km/h
2016, Nigeria, ACC352     , Severe           , Yes       ,                     1, Urban    , Clear            , Morning    ,            29, Yes                , Low            , No              , 41-60 km/h
2016, Liberia, ACC353     , Minor            , Yes       ,                     4, Urban    , Clear            , Night      ,            57, No                 , High           , No              , 61-80 km/h
2023, Liberia, ACC354     , Severe           , No        ,                    15, Urban    , Foggy            , Night      ,            53, Yes                , Medium         , No              , 41-60 km/h
2023, Liberia, ACC355     , Minor            , Yes       ,                    14, Rural    , Clear            , Night      ,            32, Yes                , Medium         , No              , <=40 km/h
2022, Liberia, ACC356     , Minor            , No        ,                     1, Rural    , Rainy            , Evening    ,            45, Yes                , Medium         , No              , 80+ km/h
2017, Liberia, ACC357     , Minor            , No        ,                    14, Urban    , Foggy            , Morning    ,            35, Yes                , Medium         , No              , 41-60 km/h
2023, Liberia, ACC358     , Moderate         , Yes       ,                     6, Rural    , Clear            , Evening    ,            19, Yes                , Medium         , No              , 41-60 km/h
2016, Nigeria, ACC359     , Moderate         , Yes       ,                    14, Urban    , Cloudy           , Morning    ,            30, Yes                , Low            , Yes             , 41-60 km/h
2018, Liberia, ACC360     , Minor            , Yes       ,                    13, Rural    , Clear            , Morning    ,            32, Yes                , High           , No              , 61-80 km/h
2019, Nigeria, ACC361     , Severe           , No        ,                     4, Urban    , Cloudy           , Afternoon  ,            37, Yes                , High           , No              , 41-60 km/h
2016, Liberia, ACC362     , Moderate         , Yes       ,                     3, Urban    , Clear            , Morning    ,            46, Yes                , Medium         , Yes             , <=40 km/h
2016, Nigeria, ACC363     , Moderate         , No        ,                     3, Urban    , Rainy            , Morning    ,            59, No                 , High           , No              , <=40 km/h
2017, Nigeria, ACC364     , Moderate         , No        ,                     9, Rural    , Clear            , Evening    ,            46, Yes                , Low            , No              , 41-60 km/h
2022, Nigeria, ACC365     , Moderate         , No        ,                     6, Urban    , Clear            , Morning    ,            20, No                 , Medium         , No              , 61-80 km/h
2022, Liberia, ACC366     , Moderate         , Yes       ,                     9, Urban    , Rainy            , Evening    ,            36, Yes                , Medium         , No              , 41-60 km/h
2021, Liberia, ACC367     , Minor            , No        ,                    13, Urban    , Rainy            , Night      ,            20, No                 , Medium         , No              , 41-60 km/h
2017, Nigeria, ACC368     , Minor            , No        ,                     5, Urban    , Clear            , Morning    ,            31, No                 , Medium         , Yes             , <=40 km/h
2018, Liberia, ACC369     , Severe           , Yes       ,                     2, Urban    , Clear            , Morning    ,            57, Yes                , Medium         , No              , 41-60 km/h
2022, Nigeria, ACC370     , Fatal            , Yes       ,                     8, Rural    , Rainy            , Evening    ,            21, Yes                , Low            , No              , 80+ km/h
2019, Liberia, ACC371     , Minor            , No        ,                     5, Rural    , Rainy            , Night      ,            28, No                 , Medium         , No              , 41-60 km/h
2023, Nigeria, ACC372     , Minor            , Yes       ,                     2, Urban    , Cloudy           , Afternoon  ,            48, Yes                , Low            , Yes             , 80+ km/h
2017, Nigeria, ACC373     , Moderate         , No        ,                     4, Rural    , Rainy            , Night      ,            49, Yes                , Medium         , Yes             , 41-60 km/h
2023, Liberia, ACC374     , Moderate         , Yes       ,                     9, Urban    , Cloudy           , Evening    ,            44, Yes                , Low            , No              , <=40 km/h
2016, Nigeria, ACC375     , Minor            , Yes       ,                    15, Rural    , Rainy            , Night      ,            47, No                 , Low            , No              , 61-80 km/h
2019, Liberia, ACC376     , Minor            , No        ,                     4, Rural    , Clear            , Evening    ,            19, No                 , Medium         , No              , 41-60 km/h
2019, Nigeria, ACC377     , Severe           , Yes       ,                    13, Urban    , Clear            , Evening    ,            26, Yes                , Medium         , No              , 61-80 km/h
2016, Nigeria, ACC378     , Moderate         , Yes       ,                    12, Rural    , Rainy            , Afternoon  ,            45, Yes                , High           , No              , 80+ km/h
2017, Liberia, ACC379     , Minor            , Yes       ,                    12, Urban    , Rainy            , Morning    ,            48, Yes                , Medium         , No              , <=40 km/h
2016, Liberia, ACC380     , Minor            , Yes       ,                    12, Urban    , Clear            , Evening    ,            51, Yes                , Medium         , No              , <=40 km/h
2023, Liberia, ACC381     , Minor            , Yes       ,                    13, Rural    , Clear            , Evening    ,            32, No                 , High           , No              , 61-80 km/h
2021, Nigeria, ACC382     , Moderate         , Yes       ,                    15, Urban    , Cloudy           , Afternoon  ,            42, Yes                , Medium         , Yes             , 41-60 km/h
2019, Liberia, ACC383     , Minor            , No        ,                    14, Urban    , Rainy            , Evening    ,            53, Yes                , Low            , No              , <=40 km/h
2020, Nigeria, ACC384     , Minor            , Yes       ,                     4, Urban    , Clear            , Morning    ,            25, Yes                , Medium         , Yes             , <=40 km/h
2020, Nigeria, ACC385     , Severe           , No        ,                     2, Rural    , Clear            , Afternoon  ,            26, No                 , High           , No              , <=40 km/h
2023, Liberia, ACC386     , Minor            , Yes       ,                    13, Urban    , Clear            , Morning    ,            54, Yes                , Medium         , No              , 61-80 km/h
2018, Liberia, ACC387     , Moderate         , No        ,                    12, Urban    , Clear            , Morning    ,            56, Yes                , Low            , No              , <=40 km/h
2022, Nigeria, ACC388     , Minor            , Yes       ,                    15, Rural    , Clear            , Afternoon  ,            49, Yes                , Low            , Yes             , 41-60 km/h
2016, Nigeria, ACC389     , Minor            , No        ,                     6, Rural    , Clear            , Evening    ,            34, Yes                , Low            , No              , 61-80 km/h
2016, Liberia, ACC390     , Minor            , Yes       ,                    13, Urban    , Rainy            , Morning    ,            52, Yes                , Medium         , Yes             , 41-60 km/h
2018, Liberia, ACC391     , Severe           , Yes       ,                    11, Urban    , Clear            , Morning    ,            54, Yes                , Medium         , No              , <=40 km/h
2018, Liberia, ACC392     , Severe           , Yes       ,                    14, Urban    , Foggy            , Morning    ,            36, Yes                , Low            , Yes             , 61-80 km/h
2023, Liberia, ACC393     , Severe           , Yes       ,                     2, Urban    , Foggy            , Morning    ,            46, No                 , High           , Yes             , <=40 km/h
2023, Liberia, ACC394     , Minor            , Yes       ,                    12, Urban    , Clear            , Afternoon  ,            24, No                 , Medium         , No              , 61-80 km/h
2018, Nigeria, ACC395     , Moderate         , Yes       ,                     7, Rural    , Rainy            , Afternoon  ,            45, No                 , Medium         , Yes             , 61-80 km/h
